TinyVision Training Log (with autoresearch optimizations)
======================================================================
Optimizations: softcap(1) + lr_schedule(2) + zero_wd(3) + 2D-RoPE(4) + Muon(5) + gated-residuals(6)
Device: cuda
Model params: 2,578,544  (~2.58M)
n_regions=64  top_k=4  pool_size=4
Total epochs: 30  Total time: 674s
Best val loss: 0.0829
======================================================================

[  1/30] lr=6.67e-07 | train  loss=1.476  obj=0.094  box=0.069  cls=0.373  rt=1.490 | route_acc(tr)=0.53  det_acc(tr)=0.92 | val  loss=0.401  route_acc=0.74  det_acc=0.99 | 23s
[  2/30] lr=1.00e-06 | train  loss=0.326  obj=0.013  box=0.013  cls=0.041  rt=0.596 | route_acc(tr)=0.79  det_acc(tr)=0.99 | val  loss=0.273  route_acc=0.83  det_acc=0.99 | 45s
[  3/30] lr=1.00e-06 | train  loss=0.227  obj=0.009  box=0.009  cls=0.027  rt=0.431 | route_acc(tr)=0.85  det_acc(tr)=0.99 | val  loss=0.228  route_acc=0.86  det_acc=0.99 | 67s
[  4/30] lr=1.00e-06 | train  loss=0.173  obj=0.008  box=0.007  cls=0.019  rt=0.332 | route_acc(tr)=0.88  det_acc(tr)=1.00 | val  loss=0.173  route_acc=0.89  det_acc=0.99 | 90s
[  5/30] lr=1.00e-06 | train  loss=0.149  obj=0.007  box=0.006  cls=0.015  rt=0.290 | route_acc(tr)=0.89  det_acc(tr)=1.00 | val  loss=0.157  route_acc=0.88  det_acc=1.00 | 112s
[  6/30] lr=1.00e-06 | train  loss=0.124  obj=0.006  box=0.005  cls=0.012  rt=0.241 | route_acc(tr)=0.91  det_acc(tr)=1.00 | val  loss=0.161  route_acc=0.90  det_acc=0.99 | 134s
[  7/30] lr=1.00e-06 | train  loss=0.105  obj=0.006  box=0.005  cls=0.008  rt=0.210 | route_acc(tr)=0.92  det_acc(tr)=1.00 | val  loss=0.133  route_acc=0.92  det_acc=1.00 | 156s
[  8/30] lr=1.00e-06 | train  loss=0.101  obj=0.005  box=0.004  cls=0.007  rt=0.211 | route_acc(tr)=0.92  det_acc(tr)=1.00 | val  loss=0.137  route_acc=0.92  det_acc=0.99 | 179s
[  9/30] lr=1.00e-06 | train  loss=0.091  obj=0.005  box=0.004  cls=0.006  rt=0.187 | route_acc(tr)=0.92  det_acc(tr)=1.00 | val  loss=0.136  route_acc=0.91  det_acc=1.00 | 202s
[ 10/30] lr=1.00e-06 | train  loss=0.086  obj=0.005  box=0.004  cls=0.004  rt=0.186 | route_acc(tr)=0.92  det_acc(tr)=1.00 | val  loss=0.119  route_acc=0.92  det_acc=1.00 | 225s
[ 11/30] lr=1.00e-06 | train  loss=0.077  obj=0.004  box=0.003  cls=0.004  rt=0.161 | route_acc(tr)=0.93  det_acc(tr)=1.00 | val  loss=0.135  route_acc=0.91  det_acc=1.00 | 247s
[ 12/30] lr=1.00e-06 | train  loss=0.076  obj=0.004  box=0.003  cls=0.005  rt=0.159 | route_acc(tr)=0.93  det_acc(tr)=1.00 | val  loss=0.110  route_acc=0.92  det_acc=1.00 | 270s
